Category,Shortcut,Description,Usefulness
iTerm2,Cmd + [,Previous pane,Medium
iTerm2,Cmd + ],Next pane,Medium
iTerm2,Cmd + Shift + Enter,Maximize current pane,High
iTerm2,Cmd + F,Find in terminal output,Medium
Shell,Ctrl + A,Move to beginning of shell line,High
Shell,Ctrl + E,Move to end of shell line,High
Shell,Ctrl + U,Delete before cursor,High
Shell,Ctrl + K,Delete after cursor,High
Shell,Ctrl + W,Delete previous word,High
Shell,Ctrl + R,Reverse history search,High
Shell,Ctrl + C,Cancel running command,High
Shell,Ctrl + D,Exit shell / send EOF,Medium
Shell,Ctrl + L,Clear terminal screen,High
Rectangle,Ctrl + Option + Left,Move window to left half,High
Rectangle,Ctrl + Option + Right,Move window to right half,High
Rectangle,Ctrl + Option + Up,Move window to top half / maximize depending config,High
Rectangle,Ctrl + Option + Down,Move window to bottom half / restore depending config,Medium
Rectangle,Ctrl + Option + Enter,Maximize window,High
Rectangle,Ctrl + Option + C,Center window,Medium
Rectangle,Ctrl + Option + U,Upper-left window position,Medium
Rectangle,Ctrl + Option + I,Upper-right window position,Medium
Rectangle,Ctrl + Option + J,Lower-left window position,Medium
Rectangle,Ctrl + Option + K,Lower-right window position,Medium
Burp,Ctrl + R,Send selected request to Repeater,High
Burp,Ctrl + I,Send selected request to Intruder,Medium
Burp,Ctrl + F,Forward intercepted Proxy message,High
Burp,Ctrl + T,Toggle Proxy interception / common custom hotkey,High
Burp,Ctrl + Shift + R,Switch to Repeater,High
Burp,Ctrl + Shift + P,Switch to Proxy,High
Burp,Ctrl + Shift + T,Switch to Target,Medium
Burp,Ctrl + Shift + I,Switch to Intruder,Medium
Burp,Ctrl + U,URL-encode key characters / common custom hotkey,Medium
Burp,Ctrl + Shift + U,URL-decode / common custom hotkey,Medium
Pentest,Cmd + Option + I,Open browser DevTools,High
Pentest,Cmd + L,Focus URL bar for target switching,High
Pentest,Cmd + Shift + 5,Capture screenshot/video evidence,High
Pentest,Ctrl + Cmd + Q,Lock screen quickly,High
QMK,Tap Esc / Hold Ctrl,Dual-role key for Esc on tap and Ctrl on hold,High
QMK,Tap Space / Hold Layer,Dual-role thumb key for Space and layer access,High
QMK,Tap Enter / Hold Cmd,Dual-role thumb key for Enter and Cmd,High
QMK,J + K combo,Combo shortcut often used as Esc,High
QMK,D + F combo,Combo shortcut often used as Tab or layer action,Medium
QMK,Double tap key,Tap Dance action for alternate key/function,Medium
QMK,Hold thumb key,Activate navigation layer,High
QMK,Hold opposite thumb key,Activate symbol/number layer,High
Media,Play/Pause,Toggle media playback,Medium
Media,Next Track,Skip to next track,Medium
Media,Previous Track,Go to previous track,Medium
Media,Volume Up,Increase volume,High
Media,Volume Down,Decrease volume,High
Media,Mute,Toggle mute,High
Media,Brightness Up,Increase display brightness,Medium
Media,Brightness Down,Decrease display brightness,Medium
